age,gender,department,job_level,marital_status,monthly_income,years_at_company,overtime,performance_rating,distance_from_home_km,training_hours_last_year,Attrition
22,F,Sales,5,Single,8760.0,37,Yes,3,5.0,66.0,0
50,M,Engineering,2,Divorced,6144.0,3,Yes,3,18.2,127.0,0
36,M,Finance,1,Single,10112.0,7,No,2,16.0,158.0,1
20,F,HR,2,Divorced,4411.0,39,Yes,3,9.9,104.0,0
43,F,Sales,5,Single,3471.0,26,No,4,16.6,152.0,0
20,M,Sales,2,Single,3526.0,21,Yes,3,11.6,170.0,1
36,M,Sales,3,Married,12615.0,24,Yes,3,4.4,33.0,0
62,F,Finance,1,Single,8171.0,26,Yes,2,-1.2,139.0,0
29,M,Sales,2,Single,8962.0,6,Yes,2,6.5,41.0,0
55,M,Sales,2,Married,10531.0,12,No,2,19.0,137.0,0
32,M,Engineering,3,Single,8327.0,23,No,3,5.0,61.0,0
54,F,Engineering,2,Married,4599.0,1,No,3,6.699999999999999,69.0,0
19,M,Engineering,4,Married,3795.0,22,No,3,13.8,71.0,0
59,F,Engineering,1,Divorced,5088.0,8,Yes,3,4.3,162.0,0
45,F,Engineering,1,Divorced,5467.0,5,No,3,16.0,171.0,0
53,M,Engineering,2,Married,14441.0,32,No,3,6.4,193.0,0
36,M,Engineering,1,Married,6144.0,4,Yes,3,18.9,2.0,1
47,M,HR,5,Single,4129.0,37,No,3,5.9,67.0,0
30,M,Sales,4,Single,8171.0,7,No,3,15.5,148.0,0
39,F,Engineering,3,Married,11519.0,6,Yes,3,1.2000000000000002,17.0,0
52,M,Support,1,Married,6365.0,29,No,3,22.6,152.0,1
49,M,Engineering,5,Single,9788.0,39,No,3,24.1,46.0,0
19,M,Finance,3,Married,8189.0,9,No,3,0.3999999999999999,164.0,0
64,F,Sales,2,Married,4620.0,33,No,3,8.2,65.0,0
31,M,Support,3,Married,6299.0,34,Yes,3,5.0,10.0,0
18,M,Sales,2,Married,2056.0,9,Yes,3,5.2,145.0,0
41,M,Sales,1,Married,4815.0,34,No,3,3.1,90.0,0
57,F,Engineering,4,Married,4960.0,5,No,3,4.7,168.0,0
36,F,Engineering,4,Married,11643.0,39,No,2,3.6,39.0,0
29,M,Support,1,Married,6308.0,29,Yes,2,11.2,91.0,0
40,F,Support,3,Married,5489.0,26,No,3,6.5,12.0,0
19,M,Engineering,1,Married,5964.0,18,No,3,-1.8,98.0,0
28,F,Finance,1,Married,19616.0,40,No,4,16.2,81.0,0
55,F,Sales,2,Married,5119.0,7,Yes,3,6.300000000000001,142.0,0
29,M,Sales,2,Married,10300.0,3,No,3,11.5,150.0,0
45,M,HR,3,Single,7352.0,23,No,3,0.7000000000000002,70.0,0
31,M,Finance,1,Single,18433.0,3,Yes,3,6.199999999999999,121.0,0
47,F,Sales,2,Married,2834.0,7,Yes,3,6.699999999999999,141.0,0
35,F,Support,1,Divorced,7022.0,28,No,3,5.2,71.0,0
25,F,Engineering,4,Married,5989.0,33,No,4,2.5,79.0,0
22,F,HR,3,Divorced,7298.0,22,No,3,-0.1,151.0,0
36,F,Engineering,3,Married,10481.0,24,Yes,2,23.3,19.0,0
52,F,Engineering,1,Single,9984.0,40,No,3,27.5,159.0,0
38,F,HR,5,Married,6391.0,30,No,3,4.4,33.0,0
35,F,Engineering,3,Married,6531.0,12,No,3,7.199999999999999,124.0,0
20,M,Support,1,Divorced,8890.0,0,No,2,-1.6,37.0,0
63,M,Finance,1,Married,9872.0,39,No,3,2.7,21.0,0
34,F,Finance,2,Married,3562.0,25,No,3,0.8999999999999999,61.0,0
57,F,Engineering,1,Divorced,9756.0,0,No,3,6.699999999999999,107.0,0
58,M,HR,2,Married,3298.0,30,No,4,14.2,72.0,0
46,M,Engineering,2,Divorced,7935.0,34,No,3,1.2000000000000002,172.0,0
48,F,HR,2,Divorced,10546.0,21,Yes,3,6.5,51.0,0
48,M,Finance,3,Single,5042.0,23,No,3,2.7,94.0,0
26,F,Engineering,2,Single,10118.0,26,Yes,3,8.6,126.0,0
44,M,Engineering,1,Single,4886.0,2,No,2,13.9,155.0,1
64,F,HR,2,Married,7949.0,37,No,4,6.6,97.0,0
61,M,Engineering,1,Divorced,7405.0,21,Yes,4,5.9,106.0,0
58,M,Sales,4,Married,8736.0,24,Yes,2,7.6,99.0,0
18,F,Engineering,5,Married,9041.0,30,Yes,3,2.3,97.0,0
54,M,Engineering,2,Single,9444.0,8,No,3,11.5,58.0,0
37,F,Finance,2,Single,6983.0,8,No,4,3.0,182.0,0
58,F,Finance,3,Single,6302.0,10,No,3,3.8,47.0,0
32,F,Sales,2,Married,6705.0,25,Yes,2,-1.0,83.0,0
44,F,Finance,3,Married,12345.0,31,No,3,14.4,15.0,0
48,M,Engineering,2,Married,13446.0,39,No,3,1.2999999999999998,89.0,0
44,M,Engineering,4,Single,5852.0,13,No,2,20.8,94.0,0
46,M,Sales,1,Single,15244.0,18,No,3,7.0,136.0,0
56,F,Finance,5,Married,3749.0,21,No,2,11.3,85.0,0
47,F,Support,1,Married,5387.0,39,No,3,19.6,113.0,0
41,F,Engineering,2,Married,10089.0,21,Yes,3,9.6,132.0,0
58,M,Sales,3,Married,5623.0,35,No,3,19.2,61.0,0
38,F,Sales,3,Married,6909.0,35,No,1,20.8,24.0,1
36,M,Support,2,Married,5868.0,27,No,3,6.300000000000001,71.0,0
57,M,Engineering,1,Married,7548.0,31,No,4,3.4000000000000004,83.0,0
27,M,Support,2,Married,5502.0,28,Yes,3,4.8,9.0,0
28,M,Engineering,3,Married,13222.0,11,Yes,2,13.0,104.0,0
50,M,Sales,3,Single,11459.0,10,Yes,3,3.7,171.0,0
64,F,Sales,1,Single,3184.0,12,Yes,1,10.1,152.0,1
35,F,Support,4,Single,6413.0,27,No,3,9.5,133.0,0
56,F,HR,4,Married,9465.0,24,Yes,4,12.2,186.0,0
34,F,Finance,3,Divorced,9137.0,3,Yes,2,4.2,160.0,0
44,F,Sales,3,Married,2394.0,13,Yes,4,5.1,158.0,0
64,M,Engineering,2,Single,12736.0,26,No,3,12.4,182.0,0
53,F,Support,1,Single,12459.0,28,No,3,23.0,142.0,0
24,F,Sales,1,Divorced,6358.0,13,No,3,0.7000000000000002,14.0,0
24,F,Support,5,Single,6502.0,20,No,3,-0.1999999999999999,93.0,0
30,F,Support,2,Divorced,3703.0,11,Yes,1,24.6,107.0,1
43,M,Finance,5,Married,10833.0,26,Yes,3,5.9,172.0,0
36,M,Sales,4,Married,14552.0,9,No,1,13.8,81.0,0
37,M,Engineering,2,Married,10268.0,1,No,3,3.7,26.0,0
25,F,Engineering,2,Married,6979.0,20,No,1,11.4,42.0,0
49,F,Engineering,1,Divorced,10149.0,35,No,3,8.0,24.0,0
31,M,Finance,1,Married,6101.0,31,Yes,3,3.5,86.0,0
61,F,Engineering,4,Divorced,7219.0,36,No,3,0.7999999999999998,68.0,0
46,F,Engineering,1,Single,5375.0,25,Yes,3,7.9,25.0,0
38,M,Sales,2,Divorced,7153.0,11,No,3,16.3,159.0,0
53,M,Finance,3,Married,5621.0,14,Yes,2,6.1,116.0,1
59,M,Support,1,Married,4220.0,34,No,3,10.3,131.0,0
18,F,Finance,3,Single,8908.0,11,No,4,14.0,6.0,1
35,F,Engineering,1,Single,8011.0,17,No,3,0.2999999999999998,122.0,0
28,F,Sales,2,Married,7957.0,36,No,4,7.5,7.0,0
31,M,Finance,3,Single,3793.0,40,Yes,3,17.9,90.0,0
19,M,Engineering,3,Divorced,11247.0,39,Yes,3,2.4000000000000004,171.0,0
62,M,Engineering,2,Married,3719.0,1,Yes,4,16.2,159.0,0
22,F,Sales,3,Married,5753.0,14,No,2,20.6,21.0,0
32,F,Support,2,Married,2850.0,37,No,3,7.9,101.0,0
60,M,Engineering,1,Married,11366.0,37,No,4,19.0,19.0,0
47,M,Engineering,4,Married,5548.0,23,No,2,2.9000000000000004,80.0,0
27,M,Sales,2,Married,6969.0,26,No,3,4.7,176.0,0
25,M,Engineering,2,Married,7861.0,25,No,4,6.800000000000001,115.0,0
28,F,Engineering,3,Married,5433.0,28,Yes,3,4.2,167.0,0
57,M,Sales,1,Married,9038.0,39,Yes,3,14.5,171.0,0
50,M,Engineering,1,Married,6453.0,3,Yes,3,9.0,185.0,0
20,M,Sales,5,Married,10668.0,20,No,4,21.2,66.0,0
53,F,Sales,1,Single,2239.0,29,No,2,4.3,100.0,0
24,M,Support,2,Married,8960.0,27,No,1,4.8,51.0,0
42,M,Sales,1,Single,17190.0,10,No,3,9.8,101.0,0
57,F,Support,4,Single,10490.0,27,Yes,4,9.8,74.0,0
24,F,HR,2,Married,2822.0,28,No,3,9.8,170.0,0
31,F,Engineering,1,Single,20916.0,3,No,4,3.1,1.0,0
44,F,Support,1,Married,9067.0,38,Yes,3,16.4,93.0,0
27,M,Finance,4,Married,6691.0,8,No,4,7.9,116.0,0
47,F,Support,1,Married,6847.0,10,No,3,-0.5,164.0,0
21,M,Sales,3,Married,21458.0,11,No,2,11.4,20.0,0
58,F,HR,1,Married,7484.0,33,No,3,3.9,99.0,0
31,M,Engineering,1,Married,5397.0,27,No,2,5.5,121.0,0
31,F,Sales,3,Single,3477.0,40,No,1,1.6,124.0,0
24,F,Support,1,Single,9139.0,35,Yes,3,7.300000000000001,106.0,0
41,M,Sales,4,Single,6747.0,10,No,2,5.9,158.0,0
22,F,Engineering,1,Married,4901.0,5,Yes,2,15.9,1.0,1
61,M,Engineering,2,Single,13164.0,12,No,4,10.2,100.0,0
48,M,Engineering,2,Divorced,4983.0,4,No,3,6.9,47.0,0
19,F,Support,3,Married,4269.0,22,No,3,1.7999999999999998,70.0,0
33,F,Finance,2,Married,7667.0,29,Yes,3,11.2,118.0,0
43,F,Engineering,1,Single,5908.0,6,No,4,23.6,84.0,0
64,M,Sales,2,Married,3730.0,24,No,3,4.1,32.0,0
23,M,Engineering,3,Single,9255.0,6,No,3,0.7999999999999998,125.0,0
62,F,Engineering,2,Married,4779.0,28,No,1,1.2000000000000002,2.0,0
54,F,Finance,2,Married,6697.0,16,Yes,3,19.2,127.0,0
36,M,Sales,3,Married,11704.0,36,Yes,3,13.4,22.0,1
59,M,HR,2,Married,12878.0,15,No,2,8.6,107.0,0
51,F,Sales,5,Married,9732.0,13,No,3,9.3,152.0,0
47,F,Engineering,4,Married,17290.0,33,Yes,4,8.5,87.0,0
57,F,Support,1,Single,8963.0,19,Yes,2,15.7,4.0,0
30,F,Engineering,1,Married,7824.0,30,Yes,3,0.1,131.0,0
39,M,Sales,1,Married,12210.0,37,No,3,5.0,145.0,0
24,M,Sales,2,Married,4077.0,6,No,3,13.3,172.0,0
48,F,HR,1,Married,5085.0,32,Yes,3,24.1,137.0,0
52,M,Engineering,1,Married,8036.0,13,Yes,3,-0.1,97.0,0
33,M,Sales,1,Single,13561.0,27,No,2,7.199999999999999,53.0,0
25,M,Finance,1,Married,4372.0,13,No,3,1.7000000000000002,20.0,0
49,F,Finance,3,Married,10446.0,29,No,3,10.5,193.0,0
59,F,Sales,1,Married,3515.0,32,No,3,5.0,54.0,0
46,F,Finance,1,Married,5182.0,32,No,3,15.4,34.0,0
49,M,Sales,1,Married,6003.0,24,Yes,3,4.5,91.0,0
29,M,Engineering,2,Married,6877.0,36,No,3,3.1,49.0,0
31,M,Support,4,Married,1488.0,18,No,3,4.4,63.0,0
28,F,Sales,3,Divorced,4243.0,20,No,4,18.5,36.0,0
27,F,Engineering,5,Single,7978.0,25,No,3,9.8,177.0,0
34,F,Sales,2,Single,10897.0,8,No,2,13.9,102.0,0
64,F,Sales,2,Single,2640.0,1,Yes,4,1.2999999999999998,145.0,0
48,F,Sales,1,Married,6579.0,13,No,3,2.5,188.0,0
30,M,HR,2,Single,18171.0,8,No,3,4.6,90.0,0
58,F,Support,3,Married,9801.0,17,No,3,10.0,100.0,0
22,M,Support,2,Divorced,2740.0,5,No,3,6.6,77.0,0
60,F,Support,2,Married,11573.0,24,No,4,0.1,186.0,0
48,F,Sales,1,Married,6899.0,4,No,3,13.3,113.0,0
64,F,Finance,3,Single,12201.0,11,No,2,2.0,7.0,0
59,M,Sales,3,Single,7550.0,12,No,4,24.3,109.0,0
59,M,Engineering,2,Married,8093.0,28,Yes,3,21.4,57.0,0
43,F,Sales,2,Married,15996.0,1,Yes,2,5.9,39.0,0
36,M,Sales,4,Married,8594.0,26,No,2,13.6,187.0,0
20,F,Sales,1,Married,5620.0,20,No,3,3.7,82.0,0
46,M,Engineering,1,Single,7076.0,14,No,3,9.7,24.0,0
39,M,Finance,2,Single,9914.0,22,Yes,3,20.9,57.0,0
58,M,Finance,2,Married,15339.0,6,No,3,0.3999999999999999,113.0,0
38,F,Engineering,1,Single,3774.0,14,No,3,15.6,139.0,1
45,M,Finance,1,Divorced,6415.0,9,No,4,9.3,146.0,0
29,F,Engineering,4,Single,6742.0,14,No,3,4.4,54.0,0
51,F,Engineering,1,Married,14095.0,37,Yes,3,3.3,107.0,0
30,M,Engineering,3,Married,3873.0,0,No,3,1.9,158.0,0
43,F,Finance,5,Single,4908.0,0,Yes,4,3.7,12.0,0
62,M,Sales,3,Married,7756.0,33,No,2,1.7999999999999998,70.0,0
56,M,HR,3,Single,7725.0,2,Yes,1,6.4,153.0,0
53,F,Support,1,Single,5854.0,24,Yes,3,2.8,26.0,0
52,M,Engineering,1,Married,5096.0,30,No,3,26.8,171.0,0
63,F,Sales,4,Married,6800.0,39,No,3,11.8,127.0,0
33,F,Sales,2,Single,3419.0,38,No,3,1.7000000000000002,6.0,0
43,F,Finance,3,Single,5954.0,30,Yes,4,16.1,120.0,0
54,F,Sales,2,Married,3622.0,27,No,2,2.6,117.0,0
54,M,Support,3,Single,6746.0,36,No,1,9.5,55.0,0
25,F,Engineering,2,Married,7602.0,14,No,3,19.8,24.0,0
19,F,Engineering,4,Married,14757.0,37,No,3,7.800000000000001,16.0,0
57,M,Support,3,Married,6727.0,28,Yes,3,21.6,39.0,0
27,F,Engineering,2,Married,4528.0,39,No,3,6.800000000000001,41.0,0
35,F,Engineering,1,Married,5270.0,25,No,2,5.0,61.0,0
64,F,Sales,1,Single,5658.0,30,Yes,3,-0.5,58.0,0
49,F,Support,1,Single,11773.0,22,Yes,3,4.7,65.0,0
54,F,Sales,2,Married,5625.0,27,No,3,29.7,188.0,0
30,F,Finance,3,Married,12086.0,14,Yes,2,20.9,58.0,0
53,F,Finance,1,Married,8669.0,28,No,1,-0.8999999999999999,94.0,0
18,F,Support,1,Single,4516.0,28,No,3,12.5,77.0,0
34,F,Sales,1,Married,4969.0,27,No,3,1.6,75.0,0
29,F,Sales,2,Married,9872.0,39,No,2,10.4,18.0,0
42,M,Support,2,Single,6131.0,8,No,3,3.1,129.0,0
50,M,Engineering,2,Married,14714.0,37,No,3,8.5,158.0,0
61,F,Sales,4,Single,5761.0,11,No,3,17.1,158.0,0
23,M,Support,1,Married,3936.0,0,No,3,0.3999999999999999,121.0,0
29,F,Sales,1,Single,5951.0,20,No,3,9.7,169.0,0
54,F,Sales,2,Single,4348.0,33,No,1,1.1,197.0,0
48,F,Engineering,3,Single,8914.0,2,No,2,6.800000000000001,51.0,0
42,M,Engineering,2,Married,14128.0,19,No,4,2.5,78.0,0
34,F,Support,1,Married,4852.0,26,No,1,2.2,153.0,0
55,M,HR,2,Single,6560.0,40,No,3,14.0,179.0,0
25,F,HR,1,Single,14260.0,24,No,4,12.6,106.0,0
20,M,Engineering,2,Married,5086.0,18,No,2,9.8,131.0,0
51,F,HR,4,Married,7790.0,24,No,3,8.1,181.0,0
25,M,Engineering,3,Single,4675.0,34,No,3,19.8,197.0,0
49,F,Engineering,2,Single,8160.0,14,No,3,4.8,152.0,0
23,F,Engineering,1,Married,12822.0,9,Yes,4,5.7,102.0,0
37,M,Engineering,3,Divorced,4318.0,31,Yes,3,3.6,56.0,0
57,F,Sales,3,Divorced,9129.0,24,Yes,3,16.8,165.0,0
53,M,Engineering,2,Married,15063.0,12,Yes,3,3.0,135.0,0
48,F,Sales,5,Married,4988.0,27,No,3,2.8,8.0,0
36,M,Engineering,1,Single,6887.0,34,No,3,3.5,151.0,0
38,F,Sales,1,Married,9533.0,31,No,2,1.4,149.0,0
33,M,Finance,5,Single,7931.0,17,No,3,7.199999999999999,144.0,0
23,M,Sales,1,Single,5212.0,1,No,2,12.0,183.0,0
60,F,Engineering,2,Divorced,6520.0,26,No,3,0.5,164.0,0
43,F,Sales,2,Married,10569.0,23,No,4,2.9000000000000004,74.0,0
25,F,Engineering,1,Single,5900.0,36,No,3,24.8,12.0,0
46,F,HR,1,Single,14150.0,17,No,2,12.4,40.0,0
31,M,Engineering,3,Single,21799.0,30,No,3,5.1,24.0,0
39,F,Engineering,3,Married,8888.0,4,No,4,2.0,14.0,0
34,F,Support,2,Single,11182.0,13,No,2,6.699999999999999,136.0,0
58,M,Support,3,Single,7986.0,18,No,2,29.3,13.0,0
28,M,Finance,3,Married,3976.0,24,Yes,4,31.9,144.0,1
48,M,Engineering,4,Married,24528.0,36,No,3,1.1,94.0,0
36,M,HR,1,Married,4951.0,24,No,3,19.1,129.0,0
52,F,Sales,1,Single,8241.0,8,Yes,3,4.6,91.0,0
58,F,Engineering,1,Married,5821.0,16,No,3,21.6,127.0,0
38,F,Sales,1,Divorced,10989.0,12,Yes,3,8.6,71.0,0
30,F,Engineering,1,Married,11039.0,26,No,3,9.6,89.0,0
21,F,Support,1,Single,8194.0,39,No,3,6.1,195.0,0
52,F,Sales,4,Married,3088.0,4,Yes,4,3.2,87.0,0
33,F,Engineering,2,Single,8621.0,8,No,3,11.5,67.0,0
54,M,Engineering,3,Divorced,11920.0,39,No,3,14.9,92.0,0
54,F,Engineering,3,Single,14144.0,6,No,3,7.5,20.0,0
48,M,Engineering,1,Divorced,6026.0,29,Yes,3,15.9,151.0,1
51,F,Engineering,1,Married,4885.0,3,No,3,22.0,71.0,0
18,F,Engineering,2,Married,9545.0,38,No,2,13.2,170.0,0
38,F,Engineering,3,Single,9123.0,15,Yes,3,13.5,89.0,0
18,F,Engineering,3,Married,3351.0,32,Yes,3,7.1,128.0,0
52,F,Engineering,2,Married,5689.0,8,No,3,16.4,173.0,1
57,M,Support,1,Married,9700.0,38,Yes,3,8.2,117.0,0
20,M,Engineering,1,Single,4470.0,4,No,3,4.2,126.0,0
58,M,Engineering,3,Single,4886.0,3,No,3,9.2,112.0,0
54,M,Sales,1,Married,5173.0,5,Yes,3,4.5,18.0,0
25,F,Engineering,2,Single,8330.0,40,No,3,9.6,165.0,0
46,M,Support,3,Single,8790.0,8,No,3,-0.3999999999999999,135.0,0
21,F,Sales,2,Married,3096.0,12,No,4,38.4,34.0,1
47,F,Finance,4,Divorced,15910.0,5,No,3,6.800000000000001,163.0,0
52,F,Engineering,3,Divorced,5905.0,25,No,4,7.800000000000001,151.0,0
29,F,Support,3,Single,9411.0,19,No,3,16.2,84.0,0
62,M,Engineering,1,Single,10548.0,37,No,3,30.4,151.0,0
39,F,Sales,2,Married,7697.0,29,Yes,2,11.4,145.0,0
25,F,Finance,1,Married,6478.0,39,Yes,4,6.199999999999999,40.0,0
54,F,Support,4,Married,8322.0,7,No,3,24.2,178.0,0
31,M,Sales,3,Married,6343.0,12,No,3,7.2,161.0,1
41,M,Sales,4,Single,11934.0,35,Yes,1,8.1,67.0,0
57,M,Support,1,Married,4513.0,27,No,4,20.7,139.0,1
62,M,Engineering,1,Married,11635.0,22,Yes,3,7.699999999999999,105.0,0
61,F,Finance,1,Single,3862.0,39,No,3,8.0,188.0,0
18,F,HR,1,Single,5792.0,26,No,2,10.7,184.0,0
32,F,Sales,4,Married,6786.0,7,No,3,2.8,147.0,0
24,M,Sales,2,Married,11298.0,15,Yes,1,4.2,56.0,0
63,F,Engineering,1,Married,3300.0,22,Yes,3,2.8,113.0,0
29,F,Support,2,Single,3976.0,27,No,3,0.6000000000000001,146.0,0
40,M,Finance,3,Married,6637.0,13,No,2,12.2,27.0,0
33,M,Engineering,3,Married,4469.0,14,No,3,8.5,183.0,0
58,F,Finance,2,Married,5254.0,21,No,3,13.2,196.0,0
21,F,Engineering,1,Single,4311.0,7,No,2,5.6,160.0,0
47,F,Finance,3,Married,7387.0,15,Yes,3,10.6,193.0,0
46,F,Sales,3,Single,3554.0,15,No,3,2.3,132.0,0
55,M,Sales,2,Single,9168.0,13,Yes,3,17.5,40.0,0
41,M,Sales,3,Married,4758.0,23,No,3,16.6,30.0,0
56,M,Sales,2,Married,9115.0,12,No,3,4.7,184.0,0
35,M,Support,2,Single,3001.0,34,Yes,3,2.3,36.0,0
51,F,Finance,3,Divorced,2885.0,33,No,3,4.6,8.0,0
28,F,Finance,1,Married,2969.0,27,No,2,10.2,108.0,0
31,F,Engineering,2,Single,4020.0,20,No,3,10.0,19.0,0
32,M,Support,1,Married,3506.0,32,Yes,2,16.6,165.0,0
41,F,Engineering,2,Married,3780.0,38,No,3,14.6,191.0,1
42,M,Engineering,2,Married,5714.0,15,Yes,3,1.0,172.0,0
56,F,Engineering,2,Single,5142.0,36,No,1,1.7000000000000002,148.0,0
55,M,Engineering,1,Single,8246.0,16,Yes,3,4.3,133.0,0
42,M,Support,1,Married,20987.0,24,No,3,2.4000000000000004,152.0,0
